Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Gargantuan War Machine,4,Solo,"A 100-foot-tall adamantine construct that has gemstone eyes, powered by a chest crucible of elemental fl ame.","Crush, destroy",20,48/88,10,6,+7,Fists of Iron,Close,4d12+10 phy,Unbreakable +3,Relentless (3),The Machine can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight it.,Awesome Size,"When the Machine enters the battlefi eld, each PC must either lose a Hope or mark 1d4 Stress.",Rocket Punch,"Mark a Stress to make an attack against a PC within Close range. On a success, the target takes 4d12+10 direct physical damage and marks 2 Armor Slots without gaining their benefi ts.",Ground-Breaking Stomp,"Spend a Fear to choose a point within Close range and make an attack roll against all enemies within Close range of that point. Targets the attack succeeds against take 4d12 direct physical damage and are Vulnerable until they are spotlighted. Additionally, the entire area becomes rubble, and a PC must succeed on an Agility Reaction Roll (16) to move through it.",Supercharged,"Countdown (Loop 2d6). When the Machine is spotlighted for the fi rst time, activate the countdown. It ticks down each time the Machine is spotlighted. When it triggers, place a token on this stat block as the Machine’s chest crucible fl ares with magical fl ame. For each token on this stat block, the Machine gains a +1 bonus to Diffi culty and attack rolls, and its standard attack deals an extra 1d12 damage. Remove a token when the Machine takes Severe damage. 150 Daggerheart SRD",,,,
Griffin,4,Standard,"A large leonine creature that has the head, talons, and wings of an eagle.","Hunt, look for an opening, swoop",18,30/45,6,4,+4,Beak & Talons,Very Close,4d8+4 phy,"Riches +5, Keen Senses +3",Treasure Hoarder,"When a PC would mark any number of HP from the Griffi n’s attack, the PC can choose instead to give the Griffi n an equal number of bags of gold.",Swooping Slash,Move up to Far range and make a standard attack against a target along the way.,,,,,,,,,,
Hallowed Archer,4,Ranged,Spirit soldiers with sanctifi ed bows.,"Focus fi re, obey, reposition, volley",19,25/45,3,2,+4,Sanctifi ed Longbow,Far,4d8+8 phy,,Punish the Guilty,The Archer deals double damage to targets marked Guilty by a High Seraph.,Divine Volley,Mark a Stress to make a standard attack against up to three targets.,,,,,,,,,,
Hallowed Soldier,4,Minion,"Souls of the faithful, lifted up with divine weaponry.","Obey, outmaneuver, punish, swarm",18,None,1,2,+2,Sword and Shield,Melee,10 phy,,Minion (13),"The Soldier is defeated when they take any damage. For every 13 damage a PC deals to the Soldier, defeat an additional Minion within range the attack would succeed against.",Divine Flight,"While the Soldier is fl ying, spend a Fear to move up to Far range instead of Close range before taking an action.",Group Attack,"Spend a Fear to choose a target and spotlight all Hallowed Soldiers within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 10 physical damage each. Combine this damage.",,,,,,,,
Harbinger Of Death,4,Skulk,A desiccated corpse riding atop a skeletal horse. Their eyes are sewn shut and their body is wrapped in a burial shroud of dust and ash.,"Bring judgment, cut them down, move swiftly,",18,28/52,6,6,+8,Great Scythe,Close,4d10+10 phy,Judgment +3,Relentless (3),The Harbinger can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Mount,"While the Harbinger is on their mount, they gain a +2 bonus to their Diffi culty. When the Harbinger takes Severe damage, they’re knocked from their mount. If the Harbinger is unhorsed, their mount disappears until you mark a Stress to summon it again.",Fear the Reaper,"When a creature is defeated within Far range of the Harbinger, you gain a Fear.",Decapitate,"Spend 2 Fear to have the Harbinger make an attack roll against a PC within Melee range. On a success, roll a d6. On a result of 6, the target marks all HP and must make a death move.",Wake the Fallen,Spend a Fear and mark any number of Stress to have the Harbinger resurrect a defeated ally within Far range. The resurrected ally clears a number of HP equal to the number of Stress marked. Immediately spotlight the ally.,"Ashes to Ashes, Dust to Dust","When the Harbinger would mark HP, you can mark a Stress to have an ally within Far range mark the HP instead. HARBINGER OF FAMINE Tier  Support A dried-out husk of a body riding atop a withered white horse. They are covered in mouths and surrounded by swarming fl ies. Motives & Tactics: Drain, impoverish, weaken, wither Diffi culty: 18 | Thresholds: 26/42 | HP: 6 | Stress: 5 ATK: +4 | Barbed Lash: Close | 4d8+10 phy Experience: Hunger +2, Thirst +2 FEATURES",Relentless (2),The Harbinger can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.
Harbinger Of Pestilence,4,Leader,A bloated and rotting agglomeration of wriggling insects and slugs formed into a single humanoid mass riding a worm-eaten horse.,"Corrupt the pure, infect the weak, summon",18,37/70,7,8,+8,Touch of Corruption,Melee,4d10+10 mag,Rot +3,Halo of Contagion,"The Harbinger is Contagious. When a PC within Very Close range of a Contagious creature takes an action, the PC rolls a d6. On a result of 1, the PC becomes Contagious. While Contagious, a PC has disadvantage on action rolls until they spend 3 Hope to clear the condition. Contagious adversaries are unaff ected by the condition.",Mount,"While the Harbinger is on their mount, they gain a +2 bonus to their Diffi culty. When the Harbinger takes Severe damage, they’re knocked from their mount. If the Harbinger is unhorsed, their mount disappears until you mark a Stress to summon it again.",Locust Swarm,"Spend 2 Fear to have the Harbinger conjure a swarm of locusts at a point within Very Far range. Each PC within Close range of that point must either mark an Armor Slot or take 4d10 direct physical damage and roll a d6. On a result of 1–2, the PC becomes Contagious.",Frog Spawn,"Spend a Fear to have the Harbinger conjure a clutch of diseased frogs inside the mouths of up to three PCs within Close range. Each PC must succeed on a Presence Reaction Roll or take 4d12 magic damage and roll a d6. On a result of 1–3, the PC becomes Contagious.",Plague Bringer,"Mark any number of Stress up to the number of PCs in the scene. For each Stress you mark, the Harbinger summons 1d4 Contagious Zombie Legions within Far range and immediately spotlights one of them. 152 Daggerheart SRD",,,,
Harbinger Of War,4,Bruiser,A warrior clad in black armor and a horned helmet and bearing a bloody banner.,"Destroy utterly, fi ght honorably, relish combat,",21,40/70,9,4,+5,Battle Axe,Very Close,4d20 phy,Heavy Armor +3,Relentless (2),The Harbinger can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,Mount,"While the Harbinger is on their mount, they gain a +2 bonus to their Diffi culty. When the Harbinger takes Severe damage, they’re knocked from their mount. If the Harbinger is unhorsed, their mount disappears until you mark a Stress to summon it again.",Iron Dice,"Mark a Stress to have the Harbinger attempt a risky all-out attack. Make a standard attack with advantage. On a success, the target marks an additional HP. On a failure, the Harbinger becomes Vulnerable until they take or deal damage.",Supreme Commander,"Once per scene, spend a Fear to summon 1d6 Hallowed Soldiers within Close range and immediately spotlight one of them.",Battering Ram,"When a PC fails an action roll within Close range, you can spend a Fear to move into Melee range with the PC and make a standard attack with advantage against them. On a success, the PC takes standard damage and is Vulnerable until they are spotlighted.",,,,
High Seraph,4,Leader,"A divine champion, head of a hallowed host of warriors who enforce their god’s will.","Enforce dogma, fl y, pronounce judgment, smite",20,37/70,7,5,+8,Holy Sword,Very Close,4d10+10 phy,Divine Knowledge +3,Relentless (3),The Seraph can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Divine Flight,"While the Seraph is fl ying, spend a Fear to move up to Far range instead of Close range before taking an action.",Judgment,"Spend a Fear to make a target Guilty in the eyes of the Seraph’s god until the Seraph is defeated. While Guilty, the target doesn’t gain Hope on a result with Hope. When the Seraph succeeds on a standard attack against a Guilty target, they deal Severe damage instead of their standard damage. The Seraph can only mark one target at a time.",God Rays,"Mark a Stress to refl ect a sliver of divinity as a searing beam of light that hits up to twenty targets within Very Far range. Targets must make a Presence Reaction Roll, with disadvantage if they are marked Guilty. Targets who fail take 4d6+12 magic damage. Targets who succeed take half damage.",We Are One,"Once per scene, spend a Fear to spotlight all other adversaries within Far range. Attacks they make while spotlighted in this way deal half damage.",,,,
Kraken,4,Solo,"A legendary beast of the sea, bigger than the largest galleon, with sucker-laden tentacles and a terrifying maw.","Consume, crush, drown, grapple",20,35/70,11,8,+7,Tentacles,Close,4d12+10 phy,Swimming +3,Relentless (3),The Kraken can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Many Tentacles,"While the Kraken has 7 or fewer marked HP, they can make their standard attack against two targets within range.",Grapple and Drown,"Make an attack roll against a target within Close range. On a success, mark a Stress to grab them with a tentacle and drag them beneath the water. The target is Restrained and Vulnerable until they break free with a successful Strength Roll or the Kraken takes Major or greater damage. While Restrained and Vulnerable in this way, a target must mark a Stress when they make an action roll.",Boiling Blast,"Spend a Fear to spew a line of boiling water at any number of targets in a line up to Far range. All targets must succeed on an Agility Reaction Roll or take 4d6+9 physical damage. If a target marks an Armor Slot to reduce the damage, they must also mark a Stress.",Momentum,"When the Kraken makes a successful attack against a PC, you gain a Fear.",,,,
Oracle Of Doom,4,Solo,"A towering immortal and incarnation of fate, cursed to only see bad outcomes.","Change environment, condemn, dishearten,",20,38/68,11,10,+8,Psychic Attack,Far,4d8+9 mag,Boundless Knowledge +4,Terrifying,"When the Oracle makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.",Walls Closing In,"When a creature rolls a failure while within Very Far range of the Oracle, they must mark a Stress.",Pronounce Fate,"Spend a Fear to present a target within Far range with a vision of their personal nightmare. The target must make a Knowledge Reaction Roll. On a failure, they lose all Hope and take 2d20+4 direct magic damage. On a success, they take half damage and lose a Hope.",Summon Tormentors,"Once per day, spend 2 Fear to summon 2d4 Tier 2 or below Minions relevant to one of the PC’s personal nightmares. They appear at Close range relative to that PC.",Ominous Knowledge,"When the Oracle sees a mortal creature, they instantly know one of their personal nightmares.",Vengeful Fate,"When the Oracle marks HP from an attack within Very Close range, you can mark a Stress to knock the attacker back to Far range and deal 2d10+4 physical damage.",,
